year,sp500_us_total_return,portfolio_100_0_synthetic,portfolio_70_30_synthetic,portfolio_50_50_synthetic,portfolio_30_70_synthetic,portfolio_15_85_synthetic,balanced_60_40_synthetic,conservative_40_60_synthetic,months_observed,source
2005,0.07085511,0.07085511,0.05859858,0.05042756,0.04225653,0.03612827,0.05451307,0.04634205,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
2006,0.14266540,0.14266540,0.10886578,0.08633270,0.06379962,0.04689981,0.09759924,0.07506616,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
2007,0.06313480,0.06313480,0.05319436,0.04656740,0.03994044,0.03497022,0.04988088,0.04325392,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
2008,-0.39232808,-0.39232808,-0.26562966,-0.18116404,-0.09669842,-0.03334921,-0.22339685,-0.13893123,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
2009,0.30030078,0.30030078,0.21921054,0.16515039,0.11109023,0.07054512,0.19218047,0.13812031,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
2010,0.14016131,0.14016131,0.10711292,0.08508066,0.06304839,0.04652420,0.09609679,0.07406452,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
2011,0.02104525,0.02104525,0.02373168,0.02552263,0.02731358,0.02865679,0.02462715,0.02641810,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
2012,0.16799079,0.16799079,0.12659356,0.09899540,0.07139724,0.05069862,0.11279448,0.08519632,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
2013,0.29714806,0.29714806,0.21700364,0.16357403,0.11014442,0.07007221,0.19028884,0.13685922,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
2014,0.15863401,0.15863401,0.12004381,0.09431700,0.06859020,0.04929510,0.10718040,0.08145360,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
2015,0.02037923,0.02037923,0.02326546,0.02518961,0.02711377,0.02855688,0.02422754,0.02615169,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
2016,0.11731442,0.11731442,0.09112009,0.07365721,0.05619433,0.04309716,0.08238865,0.06492577,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
2017,0.20912105,0.20912105,0.15538474,0.11956053,0.08373632,0.05686816,0.13747263,0.10164842,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
2018,-0.01820959,-0.01820959,-0.00374671,0.00589520,0.01553712,0.02276856,0.00107424,0.01071616,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
2019,0.26152935,0.26152935,0.19207055,0.14576468,0.09945881,0.06472940,0.16891761,0.12261174,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
2020,0.18498731,0.18498731,0.13849112,0.10749366,0.07649619,0.05324810,0.12299239,0.09199493,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
2021,0.28260675,0.28260675,0.20682473,0.15630338,0.10578203,0.06789101,0.18156405,0.13104270,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
2022,-0.14985080,-0.14985080,-0.09589556,-0.05992540,-0.02395524,0.00302238,-0.07791048,-0.04194032,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
2023,0.22423245,0.22423245,0.16596271,0.12711622,0.08826973,0.05913487,0.14653947,0.10769298,9,"S&P series (datasets/s-and-p-500, Shiller-based)"
